      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2013-03-30 13:42:58,     80,       4.07,           0,       0.01,       19.65,        0.00,        0.16,      80,       0
2013-03-30 13:43:37,     66,       4.04,           0,       0.00,       16.33,        0.00,        0.08,      66,       0
2013-03-30 13:44:00,     70,       4.59,           0,       0.01,       15.26,        0.00,        0.08,      70,       0
2013-03-30 13:48:20,     83,       4.10,           0,       0.01,       20.23,        0.00,        0.17,      83,       0
2013-03-30 13:48:31,    106,       4.29,           0,       0.01,       24.71,        0.00,        0.18,     106,       0
2013-03-30 13:48:57,    107,       4.80,           0,       0.01,       22.27,        0.00,        0.13,     107,       0
2013-03-30 13:49:57,     89,       4.87,           0,       0.01,       18.29,        0.00,        0.13,      89,       0
2013-03-30 13:56:44,     92,       4.76,           0,       0.01,       19.34,        0.00,        0.13,      92,       0
2013-03-30 14:02:35,      2,       1.92,           0,       0.01,        1.04,        0.00,        0.01,       2,       0
2013-03-30 14:02:52,      2,       1.56,           0,       0.01,        1.28,        0.00,        0.01,       2,       0
2013-03-30 14:03:05,      5,       1.95,           0,       0.00,        2.56,        0.00,        0.01,       5,       0
2013-03-30 14:03:40,      1,       1.14,           0,       0.00,        0.88,        0.00,        0.00,       1,       0
2013-03-30 14:03:47,      9,       1.67,           0,       0.00,        5.39,        0.00,        0.02,       9,       0
2013-03-30 14:06:28,      0,       1.28,           0,        nan,        0.00,        0.00,        0.00,       0,       0
